Generic Name,Brand Names,DrugBank Accession Number,Summary,Background,Weight,Chemical Formula
Mycophenolate mofetil,"Cellcept, Myfenax, Myhibbin",DB00688,"Mycophenolate mofetilis an inosine monophosphate dehydrogenase inhibitor used to prevent the rejection of kidney, heart, or liver transplants.","Mycophenolate mofetil, also known as MMF or CellCept, is a prodrug of mycophenolic acid, and classified as a reversible inhibitor of inosine monophosphate dehydrogenase (IMPDH).3This drug is an immunosuppressant combined with drugs such asCyclosporineand corticosteroids to prevent organ rejection after hepatic, renal, and cardiac transplants.13It is marketed by Roche Pharmaceuticals and was granted FDA approval for the prophylaxis of transplant rejection in 1995.6In addition to the above uses, mycophenolate mofetil has also been studied for the treatment of nephritis and other complications of autoimmune diseases. Unlike another immunosuppressant class, the calcineurin inhibitors, MMF generally does not cause nephrotoxicity or fibrosis.2,3Previously, mycophenolic acid (MPA) was administered to individuals with autoimmune diseases beginning in the 1970s, but was discontinued due to gastrointestinal effects and concerns over carcinogenicity.6The new semi-synthetic 2-morpholinoethyl ester of MPA was synthesized to avoid the gastrointestinal effects associated with the administration of MPA. It demonstrates an increased bioavailability, a higher efficacy, and reduced gastrointestinal effects when compared to MPA.6",Average: 433.4947Monoisotopic: 433.210052351,C23H31NO7
Mycophenolic acid,Myfortic,DB01024,Mycophenolic acidis an immunosuppressant used to prevent organ transplant rejections.,"Mycophenolic acid is a potent immunosuppressant agent that inhibitsde novopurine biosynthesis.7It was derived fromPenicillium stoloniferum, and has also shown antibacterial, antifungal and antiviral properties.1. Mycophenolic acid is used in immunosuppressive regimens as part of a triple therapy that includes a calcineurin inhibitor (ciclosporin or tacrolimus) and prednisolone.2This regimen can be used in place of the older anti-proliferativeazathioprinedue to its stronger immunosuppressive potency.3However, mycophenolic acid treatment is more expensive and requires therapeutic drug monitoring to optimize efficacy and minimize toxicity.3,4Mycophenolic acid is available as enteric-coated tablets of delayed-release, in an effort to improve upper gastrointestinal adverse events by delaying mycophenolic acid release until it reaches the small intestine.5Mycophenolate mofetil, a prodrug of mycophenolic acid, is also prescribed to transplant recipients to prevent organ rejection.8",Average: 320.3371Monoisotopic: 320.125988372,C17H20O6
Nabilone,Cesamet,DB00486,Nabiloneis a synthetic delta-9-THC used in the treatment of anorexia and weight loss in HIV patients as well as nausea and vomiting in cancer chemotherapy.,"Nabilone (marketed as Cesamet) is a synthetic form of delta-9-tetrahydrocannabinol (Δ⁹-THC), the primary psychoactive component of cannabis (marijuana). Although structurally distinct from THC, nabilone mimics THC's structure and pharmacological activity through weak partial agonist activity at Cannabinoid-1 (CB1R) and Cannabinoid-2 (CB2R) receptors, however it is considered to be twice as active as Δ⁹-THC. Nabilone is approved by the FDA for the treatment of nausea and vomiting associated with cancer chemotherapy in patients who have failed to respond adequately to conventional antiemetic treatmentsLabel.Tetrahydrocannabinol (THC) and cannabidiol (CBD) are the two most abundant cannabinoids found naturally in the resin of the marijuana plant, both of which are pharmacologically active due to their interaction with cannabinoid receptors that are found throughout the body5. While both CBD and THC are used for medicinal purposes, they have different receptor activity, function, and physiological effects. If not provided in their activated form (such as through synthetic forms like Nabilone orDronabinol), THC and CBD are obtained through conversion from their precursors, tetrahydrocannabinolic acid-A (THCA-A) and cannabidiolic acid (CBDA), through decarboxylation reactions. This can be achieved through heating, smoking, vaporization, or baking of dried unfertilized female cannabis flowers.From a pharmacological perspective, Cannabis' diverse receptor profile explains its potential application for such a wide variety of medical conditions. Cannabis contains more than 400 different chemical compounds, of which 61 are considered cannabinoids, a class of compounds that act upon endogenous cannabinoid receptors of the body6. The endocannabinoid system is widely distributed throughout the central and peripheral nervous system (via the Cannabinoid Receptors CB1 and CB2) and plays a role in many physiological processes such as inflammation, cardiovascular function, learning, pain, memory, stress and emotional regulation, and the sleep/wake cycle among many others7. CB1 receptors are found in both the central and peripheral nervous system, and are most abundant in the hippocampus and amygdala, which are the areas of the brain responsible for short-term memory storage and emotional regulation. CB2 receptors are mainly located in the peripheral nervous system and can be found on lymphoid tissue where they are involved in regulation of immune function8.In Canada, the United States, the United Kingdom and Mexico, nabilone is marketed as Cesamet. It was approved in 1985 by the United States FDA for treatment of chemotherapy-induced nausea and vomiting that has not responded to conventional antiemetics. Though it was approved by the FDA in 1985, the drug only began marketing in the United States in 2006. It is also approved for use in treatment of anorexia and weight loss in patients with AIDS.Nabilone is a racemate consisting of the (S,S) and the (R,R) isomers.",Average: 372.5408Monoisotopic: 372.266445018,C24H36O3
Nabumetone,Relafen,DB00461,Nabumetoneis an NSAID used to treat osteoarthritis and rheumatoid arthritis.,"Nabumetone was originally developed as a non-acidic non-steroidal anti-inflammatory drug (NSAID).LabelIt was thought to avoid trapping of the drug in the stomach by making it unable to dissociate into ions which was believed to reduce GI toxicity by limiting local action.8While slightly reduced, possibly due to a degree of cyclooxygenase-2 selectivity (COX-2), nabumetone still produces significant adverse effects in the GI tract.Label,1The molecule itself is a pro-drug with its 6-methoxy-2-naphthylacetic acid (6-MNA) metabolite acting as a potent COX inhibitor similar in structure tonaproxen. Nabumetone was developed by Smithkline Beecham under the trade name Relafen and first received FDA approval in December, 1991.12",Average: 228.2863Monoisotopic: 228.115029756,C15H16O2
Nadifloxacin,,DB12447,Nadifloxacinis a topical fluoroquinolone used in the treatment of acne and topical bacterial skin infections.,Nadifloxacin has been used in trials studying the treatment of Acne Vulgaris.,Average: 360.385Monoisotopic: 360.148535327,C19H21FN2O4
Nadolol,Corgard,DB01203,"Nadololis a non-selective beta-adrenergic antagonist used for the management of arrhythmias, angina pectoris, and hypertension.","Nadolol is a nonselective beta adrenal receptor blocker that is used to lower blood pressure.8,9Nonselective beta adrenal receptor blockers may no longer be first line in the treatment of hypertension as newer generations of beta adrenal receptor blockers have higher selectivity and offer better rates of adverse effects.7Nadolol was granted FDA approval on 10 December 1979.8",Average: 309.4006Monoisotopic: 309.194008357,C17H27NO4
Nafamostat,,DB12598,,Nafamostat is a synthetic serine protease inhibitor that is commonly formulated with hydrochloric acid due to its basic properties. It has been used in trials studying the prevention of Liver Transplantation and Postreperfusion Syndrome. The use of nafamostat in Asian countries is approved as an anticoagulant therapy for patients undergoing continuous renal replacement therapy due to acute kidney injury.,Average: 347.378Monoisotopic: 347.138224807,C19H17N5O2
Nafarelin,Synarel,DB00666,Nafarelinis a gonadotropin releasing hormone agonist used to treat central precocious puberty.,Nafarelin is a potent synthetic agonist of gonadotropin-releasing hormone with 3-(2-naphthyl)-D-alanine substitution at residue 6. Nafarelin has been used in the treatments of central precocious puberty and endometriosis.,Average: 1322.496Monoisotopic: 1321.635625801,C66H83N17O13
Nafcillin,,DB00607,Nafcillinis a penicillin derivative antibiotic used to treat susceptible staphylococcal infections.,"A semi-synthetic antibiotic related to penicillin, Naficillin is a narrow-spectrum beta-lactam antibiotic drug. It is a beta-lactamase-resistant penicillin that is indicated for the treatment of Staphylococcal infections caused by strains that are resistant to other penicillins, except those caused by MRSA. It may be used as a first-line therapy in Methicillin-SensitiveStaphylococcus aureusinfections1.",Average: 414.475Monoisotopic: 414.124942514,C21H22N2O5S
Naftidrofuryl,,DB13588,Naftidrofurylis a peripheral vasodilator indicated in the treatment of chronic venous ulcers.,Not Available,Average: 383.5237Monoisotopic: 383.246043927,C24H33NO3
Naftifine,Naftin,DB00735,"Naftifineis an antifungal agent used to treat infections of the Tinea, Trichophyton, and Epidermophyton species.","Naftifine is a synthetic, broad spectrum, antifungal agent and allylamine derivative for the topical treatment of tinea pedis, tinea cruris, and tinea corporis caused by the organisms Trichophyton rubrum, Trichophyton mentagrophytes, Trichophyton tonsurans and Epidermophyton floccosum.",Average: 287.3981Monoisotopic: 287.167399677,C21H21N
Naftopidil,,DB12092,,Naftopidil has been investigated for the treatment of Disorder of Urinary Stent.,Average: 392.499Monoisotopic: 392.20999277,C24H28N2O3
Nalbuphine,,DB00844,"Nalbuphineis an opioid agonist-antagonist used to treat pain, for pre and postoperative analgesia, and for analgesia in labor and delivery.",A narcotic used as a pain medication. It appears to be an agonist at kappa opioid receptors and an antagonist or partial agonist at mu opioid receptors. Nalbuphine is the only opioid analgesic that is not a controlled substance in the United States.,Average: 357.4434Monoisotopic: 357.194008357,C21H27NO4
Nalidixic acid,,DB00779,Nalidixic acidis a quinolone antibiotic used to treat urinary tract infections.,"Nalidixic acid is a synthetic 1,8-naphthyridine antimicrobial agent with a limited bacteriocidal spectrum. It is an inhibitor of the A subunit of bacterial DNA gyrase.",Average: 232.2353Monoisotopic: 232.08479226,C12H12N2O3
Nalmefene,"Opvee, Revex, Selincro",DB06230,Nalmefeneis an opioid antagonist used to reduce alcohol consumption in adults with alcohol dependence and treat and prevent opioid overdose.,"Nalmefene, a 6-methylene analogue ofnaltrexone, is an opioid receptor antagonist.8It acts as an antagonist at the mu (μ)-opioid and delta (δ)-opioid receptors and a partial agonist at the kappa (κ)-opioid receptor.7In Europe, nalmefene oral tablets are used to reduce alcohol consumption in adults with alcohol dependence.7Nalmefene was approved in the United States in 1995 as an antidote for opioid overdose.4Nalmefene injection is used to manage known or suspected opioid overdose. It is used for complete or partial reversal of opioid drug effects, including respiratory depression, induced by either natural or synthetic opioids.8The nasal spray formulation of nalmefene was approved by the FDA in May 2023.11",Average: 339.435Monoisotopic: 339.183443669,C21H25NO3
Naloxone,"Kloxxado, Narcan, Rextovy, Suboxone, Targin, Targiniq, Zimhi, Zubsolv",DB01183,Naloxoneis an opioid receptor antagonist used to rapidly reverse an opioid overdose. Also included in some drug formulations as an abuse deterrent to prevent injection.,"Naloxone is an opioid antagonist medication used to block or reverse the effects of opioid drugs, particularly within the setting of drug overdoses which are rapidly becoming a leading cause of death worldwide.3More specifically, naloxone has a high affinity for μ-opioid receptors, where it acts as an inverse agonist, causing the rapid removal of any other drugs bound to these receptors.3When taken in large quantities, opioid medications such asmorphine,hydromorphone,methadone,heroin, orfentanylare capable of causing life-threatening symptoms such as respiratory depression, reduced heart rate, slurred speech, drowsiness, and constricted pupils.3,13If untreated, this can progress to vomiting, absent pulse and breathing, loss of consciousness, and even death.13Naloxone is indicated for the rapid reversal of these symptoms of central nervous system depression in opioid overdose.2It's important to note that naloxone only works on opioid receptors within the body, and is therefore not capable of reversing the effects of non-opioid medications such as stimulants likemethamphetamineorcocaine, or benzodiazepines likelorazepamordiazepam.Also known as the brand name product Narcan, naloxone is currently available by intramuscular (IM) or subcutaneous (SubQ) injection, nasal spray, or intravenous (IV) infusion.14,16Naloxone IM injections are commonly available in the form of ""kits"", which is ideal for making overdose treatment accessible and readily available for administration by minimally trained individuals within the community.15Kits commonly include the supplies necessary to treat an overdose in a non-medical setting such as alcohol swabs, syringes, a rescue breathing mask, and instructions for use. Frequently also carried by medical and emergency personnel and at events known to be associated with heavy drug use like music festivals, naloxone kits are considered a key component of harm reduction strategies. There are over-the-counter nasal sprays available.When injected intramuscularly (IM), naloxone acts within three to five minutes. Administration of naloxone is associated with very few side effects. Notably, if injected into a person not currently using opioid medications, there would be no noticeable effects at all. However, for individuals using opioid medications or experiencing an overdose, IM injection of naloxone rapidly reverses opioid effects and can cause the injected individual to immediately experience withdrawal symptoms.2Common symptoms of opioid withdrawal include nausea, vomiting, sweating, runny nose, aches, and diarrhea.2Although certainly physically uncomfortable, opioid withdrawal symptoms are not life-threatening; administration of naloxone is, therefore, appropriate for any person appearing to have any symptoms of an opioid overdose. Due to its short duration of action, persons injected with naloxone should be monitored for responsiveness and potentially injected a second time or taken to the hospital.2Naloxone is also available within the combination product Suboxone with the opioid medicationbuprenorphine.11,12Suboxone is used for the maintenance treatment of opioid dependence and addiction.11,12When taken orally, naloxone has no pharmacological effect and does not reduce the effectiveness of the opioid effect of buprenorphine.11,12The primary purpose of including naloxone within Suboxone is to act as a deterrent to injection, as injected naloxone would rapidly reverse the effects of buprenorphine.11,12Naloxone was granted FDA approval on 13 April 1971.10",Average: 327.3743Monoisotopic: 327.147058165,C19H21NO4
Nandrolone,,DB13169,Nandroloneis an anabolic steroid indicated to increase bone density and muscle mass in patients with osteoporosis.,"Nandrolone, also known as 19-nortestosterone or 19-norandrostenolone, is a synthetic anabolic-androgenic steroid (AAS) derived from testosterone.",Average: 274.3978Monoisotopic: 274.193280076,C18H26O2
Nandrolone decanoate,,DB08804,Nandrolone decanoateis an anabolic steroid indicated for the management of the anemia of renal insufficiency by increasing hemoglobin and red cell mass.,"Nandrolone decanoate, also known as nandrolone caprinate, is an alkylated anabolic steroid indicated in the management of anemia of renal insufficiency and as an adjunct therapy in the treatment of senile and postmenopausal osteoporosis.8,11,12,13The process for creating esters ofnandrolonewas patented in Spain in 195915and in 1960, it was described as having a long duration of action and strong anabolic effect compared to nandrolone and other esters.11Nandrolone decanoate was granted FDA approval on 5 October 1962.12",Average: 428.6472Monoisotopic: 428.329045274,C28H44O3
Nandrolone,,DB13169,Nandroloneis an anabolic steroid indicated to increase bone density and muscle mass in patients with osteoporosis.,"Nandrolone, also known as 19-nortestosterone or 19-norandrostenolone, is a synthetic anabolic-androgenic steroid (AAS) derived from testosterone.",Average: 274.3978Monoisotopic: 274.193280076,C18H26O2
Naproxen,"Aleve, Aleve PM, Aleve-D, Anaprox, Naprelan, Naprosyn, Sallus, Sudafed Sinus & Pain, Treximet, Vimovo",DB00788,"Naproxenis an NSAID used to treat rheumatoid arthritis, osteoarthritis, ankylosing spondylitis, polyarticular juvenile idiopathic arthritis, tendinitis, bursitis, acute gout, primary dysmenorrhea, and mild to moderate pain.","Naproxen is classified as a nonsteroidal anti-inflammatory dug (NSAID) and was initially approved for prescription use in 1976 and then for over-the-counter (OTC) use in 1994.3It can effectively manage acute pain as well as pain related to rheumatic diseases, and has a well studied adverse effect profile.5Given its overall tolerability and effectiveness, naproxen can be considered a first line treatment for a variety of clinical situations requiring analgesia.5Naproxen is available in both immediate and delayed release formulations, in combination with sumatriptan to treat migraines, and in combination with esomeprazole to lower the risk of developing gastric ulcers.12131516",Average: 230.2592Monoisotopic: 230.094294314,C14H14O3
Naratriptan,,DB00952,Naratriptanis a 5-HT1B/1D receptor agonist used to treat migraines.,Naratriptan is a triptan drug that is selective for the 5-hydroxytryptamine1 receptor subtype. It is typically used for the treatment of migraine headaches.,Average: 335.464Monoisotopic: 335.166747749,C17H25N3O2S
Natamycin,Natacyn,DB00826,Natamycinis a macrolide antifungal used to treat fungal infections of the eye.,"Amphoteric macrolide antifungal antibiotic from Streptomyces natalensis or S. chattanoogensis. It is used for a variety of fungal infections, mainly topically. [PubChem]",Average: 665.733Monoisotopic: 665.304740577,C33H47NO13
Nateglinide,,DB00731,Nateglinideis a meglitinide used to treat non insulin dependent diabetes mellitus.,"Nateglinide is an oral antihyperglycemic agent used for the treatment of non-insulin-dependent diabetes mellitus (NIDDM). It belongs to the meglitinide class of short-acting insulin secretagogues, which act by binding to β cells of the pancreas to stimulate insulin release. Nateglinide is an amino acid derivative that induces an early insulin response to meals decreasing postprandial blood glucose levels. It should only be taken with meals and meal-time doses should be skipped with any skipped meal. Approximately one month of therapy is required before a decrease in fasting blood glucose is seen. Meglitnides may have a neutral effect on weight or cause a slight increase in weight. The average weight gain caused by meglitinides appears to be lower than that caused by sulfonylureas and insulin and appears to occur only in those naïve to oral antidiabetic agents. Due to their mechanism of action, meglitinides may cause hypoglycemia although the risk is thought to be lower than that of sulfonylureas since their action is dependent on the presence of glucose. In addition to reducing postprandial and fasting blood glucose, meglitnides have been shown to decrease glycosylated hemoglobin (HbA1c) levels, which are reflective of the last 8-10 weeks of glucose control. Meglitinides appear to be more effective at lowering postprandial blood glucose than metformin, sulfonylureas and thiazolidinediones. Nateglinide is extensively metabolized in the liver and excreted in urine (83%) and feces (10%). The major metabolites possess less activity than the parent compound. One minor metabolite, the isoprene, has the same potency as its parent compound.",Average: 317.429Monoisotopic: 317.199093733,C19H27NO3
Nebivolol,Bystolic,DB04861,Nebivololis a beta blocking agent used to treat hypertension and aid in the management of heart failure.,"Nebivolol is a racemic mixture of 2 enantiomers where one is a beta adrenergic antagonist and the other acts as a cardiac stimulant without beta adrenergic activity.2Treatment with nebivolol leads to a greater decrease in systolic and diastolic blood pressure thanatenolol,propranolol, orpindolol.2Nebivolol and other beta blockers are generally not first line therapies as many patients are first treated with thiazide diuretics.8Nebivolol was granted FDA approval on 17 December 2007.9",Average: 405.435Monoisotopic: 405.175164703,C22H25F2NO4
Nedocromil,Alocril,DB00716,Nedocromilis a pyrano quinoline used to treat allergic conjunctivitis.,"A pyranoquinolone derivative that inhibits activation of inflammatory cells which are associated with asthma, including eosinophils, neutrophils, macrophages, mast cells, monocytes, and platelets.",Average: 371.3408Monoisotopic: 371.100501903,C19H17NO7
Nefazodone,,DB01149,Nefazodoneis an antidepressant used in the treatment of depression.,"Nefazodone hydrochloride (trade name Serzone) is an antidepressant drug marketed by Bristol-Myers Squibb. Its sale was discontinued in 2003 in some countries, due to the small possibility of hepatic (liver) injury. Drug-induced hepatic injuries were associated with an risk of elevated need for a liver transplant, or even death, with the incidence of severe liver damage was shown to be approximately 1 in 250,000 to 300,000 patient-years. On May 20, 2004, Bristol-Myers Squibb discontinued the sale of Serzone in the United States.",Average: 470.007Monoisotopic: 469.224453,C25H32ClN5O2
Nelarabine,"Arranon, Atriance",DB01280,Nelarabineis a purine nucleoside analog and antineoplastic agent used for the treatment of with acute T-cell lymphoblastic leukemia and T-cell lymphoblastic lymphoma with inadequate clinical response to prior chemotherapeutic treatments.,"Nelarabine is an antineoplastic agent that is typically used to treat acute T-cell lymphoblastic leukemia, particularly T-cell acute lymphoblastic leukemia (T-ALL) and T-cell lymphoblastic lymphoma (T-LBL), in both adult and pediatric patients whose disease has not responded to or has relapsed following at least two chemotherapy regimens.14T-cell acute lymphoblastic leukemia and lymphoma are relatively rare T-cells malignancy, with only 20 to 25% of patients diagnosed with acute lymphoblastic leukemia and 1.7% of patients diagnosed with non-Hodgkin's lymphoma having this T-cells variation of the disease.2Due to the rarity of these T-cell malignancies, nelarabine was first granted orphan drug status and a fast-track designation by the FDA to address the unmet therapeutic needs of these cancers.1Nelarabine is a purine nucleoside analog converted to its corresponding arabinosylguanine nucleotide triphosphate (araGTP), resulting in the inhibition of DNA synthesis and cytotoxicity.14Nelarabine preferentially accumulates in T-cells since T-cells have a higher expression of enzymes that convert nelarabine to the active purine analog form, making them effective against T-cells malignancies.1,4Results from 2 phase 2 studies on adult and pediatric T-ALL/T-LBL indicated that nelarabine can yield a 13% complete response (CR) rate in pediatric patients and 18% in adult patients, albeit with serious hematological and neurological adverse events.12Nelarabine was first granted accelerated approval by the FDA on October 28, 2005, and was manufactured under the trademark name ARRANON by GlaxoSmithKline.11Subsequently, nelarabine was also approved by both Health Canada and European Medicines Agency in 2007 under the trademark name ATRIANCE.17,18",Average: 297.2673Monoisotopic: 297.107318615,C11H15N5O5
Nelfinavir,Viracept,DB00220,Nelfinaviris a viral protease inhibitor used in the treatment of HIV infection.,"Nelfinavir is a potent HIV-1 protease inhibitor. It is used in combination with other antiviral drugs in the treatment of HIV in both adults and children. Nelfinavir inhibits the HIV viral proteinase enzyme which prevents cleavage of the gag-pol polyprotein, resulting in noninfectious, immature viral particles.6",Average: 567.782Monoisotopic: 567.313077633,C32H45N3O4S
Neltenexine,,DB13239,,Neltenexine is an elastase inhibitor. It may be useful for preventing pulmonary emphysema.,Average: 488.24Monoisotopic: 485.961225,C18H20Br2N2O2S
Neostigmine,"Bloxiverz, Prevduo, Prostigmin",DB01400,Neostigmineis a cholinesterase inhibitor used in the symptomatic treatment of myasthenia gravis by improving muscle tone.,"A cholinesterase inhibitor used in the treatment of myasthenia gravis and to reverse the effects of muscle relaxants such as gallamine and tubocurarine. Neostigmine, unlike physostigmine, does not cross the blood-brain barrier.",Average: 223.2915Monoisotopic: 223.144652862,C12H19N2O2
Nepinalone,,DB13445,Nepinaloneis an antitussive drug that acts primarily at the central nervous system (CNS). Nepinalone does not exert CNS depressant properties at antitussive doses.,Not Available,Average: 271.404Monoisotopic: 271.193614429,C18H25NO
Nesiritide,,DB04899,Nesiritideis a recombinant natriuretic peptide used for the treatment of patients with acutely decompensated congestive heart failure who have dyspnea at rest or with minimal activity.,"Nesiritide is a medication used to treat acutely decompensated congestive heart failure with dyspnea at rest or with minimal exertion (such as talk, eating or bathing). Nesiritide is a 32 amino acid recombinant human B-type natriuretic peptide.",,
Nevirapine,Viramune,DB00238,Nevirapineis a non-nucleoside reverse transcriptase inhibitor used as part of a management regimen for HIV-1 virus infection.,"A potent, non-nucleoside reverse transcriptase inhibitor (NNRTI) used in combination with nucleoside analogues for treatment of Human Immunodeficiency Virus Type 1 (HIV-1) infection and AIDS. Structurally, nevirapine belongs to the dipyridodiazepinone chemical class.",Average: 266.2979Monoisotopic: 266.11676109,C15H14N4O
Nicotinamide,"Alertonic, Fortaplex, Infuvite, Infuvite Pediatric, Mvc-fluoride, Mvi Pediatric, Natafort, Neo-bex, Nicomide, Pregvit, Tandem Plus",DB02701,Nicotinamideis an ingredient found in a variety of cosmetic products.,An important compound functioning as a component of the coenzyme NAD. Its primary significance is in the prevention and/or cure of blacktongue and pellagra. Most animals cannot manufacture this compound in amounts sufficient to prevent nutritional deficiency and it therefore must be supplemented through dietary intake.,Average: 122.1246Monoisotopic: 122.048012824,C6H6N2O
Nicardipine,Cardene,DB00622,Nicardipineis a calcium channel blocker used for the short-term treatment of hypertension and chronic stable angina.,A potent calcium channel blockader with marked vasodilator action. It has antihypertensive properties and is effective in the treatment of angina and coronary spasms without showing cardiodepressant effects. It has also been used in the treatment of asthma and enhances the action of specific antineoplastic agents. [PubChem],Average: 479.525Monoisotopic: 479.205635675,C26H29N3O6
Amoxapine,,DB00543,Amoxapineis a tricyclic antidepressant used in the treatment of neurotic or reactive depressive disorders and endogenous or psychotic depression.,"Amoxapine, theN-demethylated derivative of the antipsychotic agent loxapine, is a dibenzoxazepine-derivative tricyclic antidepressant (TCA). TCAs are structurally similar to phenothiazines. They contain a tricyclic ring system with an alkyl amine substituent on the central ring. In non-depressed individuals, amoxapine does not affect mood or arousal, but may cause sedation. In depressed individuals, amoxapine exerts a positive effect on mood. TCAs are potent inhibitors of serotonin and norepinephrine reuptake. In addition, TCAs down-regulate cerebral cortical β-adrenergic receptors and sensitize post-synaptic serotonergic receptors with chronic use. The antidepressant effects of TCAs are thought to be due to an overall increase in serotonergic neurotransmission. TCAs also block histamine H1receptors, α1-adrenergic receptors and muscarinic receptors, which accounts for their sedative, hypotensive and anticholinergic effects (e.g. blurred vision, dry mouth, constipation, urinary retention), respectively. See toxicity section below for a complete listing of side effects. Amoxapine may be used to treat neurotic and reactive depressive disorders, endogenous and psychotic depression, and mixed symptoms of depression and anxiety or agitation.",Average: 313.781Monoisotopic: 313.098189856,C17H16ClN3O
Nicorandil,,DB09220,Nicorandilis a vasodilatory drug that functions through potassium channels and intracellular cGMP concentrations commonly used to treat angina.,"Nicorandil is an orally efficacious vasodilatory drug and antianginal agent marketed in the UK, Australia, most of Europe, India, Philippines, Japan, South Korea, and Taiwan. It is not an approved drug by FDA. It is a niacinamide derivative that induces vasodilation of arterioles and large coronary arteries by activating potassium channels. It is often used for patients with angina who remain symptomatic despite optimal treatment with other antianginal drugs11. Nicorandil is a dual-action potassium channel opener that relaxes vascular smooth muscle through membrane hyperpolarization via increased transmembrane potassium conductance and increased intracellular concentration of cyclic GMP. It is shown to dilate normal and stenotic coronary arteries and reduces both ventricular preload and afterload10.",Average: 211.177Monoisotopic: 211.059305782,C8H9N3O4
Amoxicillin,"Amoxil, Augmentin, Clavulin, Moxatag, Omeclamox, Prevpac, Talicia, Voquezna 14 Day Dualpak 20;500, Voquezna 14 Day Triplepak 20;500;500",DB01060,"Amoxicillinis a penicillin derivative used for the treatment of infections caused by gram-positive bacteria, in particular streptococcal bacteria causing upper respiratory tract infections.","Amoxicillin, or BRL-2333, is a penicillin G derivative first described in the literature in 1972.6Amoxicillin has similar activity topenicillinandampicillin, but leads to higher serum concentrations than ampicillin.6Amoxicillin was granted FDA approval on 18 January 1974.12",Average: 365.404Monoisotopic: 365.104541423,C16H19N3O5S
Nicotine,"Habitrol, Nicoderm C-Q, Nicorelief, Nicorette, Nicotrol",DB00184,Nicotineis a stimulatory alkaloid found in tobacco products that is often used for the relief of nicotine withdrawal symptoms and as an aid to smoking cessation.,Nicotine is highly toxic alkaloid. It is the prototypical agonist at nicotinic cholinergic receptors where it dramatically stimulates neurons and ultimately blocks synaptic transmission. Nicotine is also important medically because of its presence in tobacco smoke.,Average: 162.2316Monoisotopic: 162.115698458,C10H14N2
Nicotinyl alcohol,,DB04145,,A direct-acting peripheral vasodilator that causes flushing and may decrease blood pressure. It is used in vasospasm and threatened gangrene. [PubChem],Average: 109.1259Monoisotopic: 109.052763851,C6H7NO
Nifedipine,"Adalat, Afeditab CR, Nifediac, Nifedical, Procardia",DB01115,"Nifedipineis a dihydropyridine calcium channel blocker indicated for the management of several subtypes of angina pectoris, and hypertension.","Nifedipine, or BAY a 1040, is a first generation dihydropyridine L-type calcium channel blocker, similar tonicardipine.3,10,11,13Nifedipine was developed by Bayer and first described in the literature, along with other dihydropyridines, in 1972.11,12Since nifedipine's development, second and third generation dihydropyridines have been developed with slower onsets and longer durations of action.10The most popular of the third generation dihydropyridines isamlodipine.10Nifedipine was granted FDA approval on 31 December 1981.13",Average: 346.3346Monoisotopic: 346.116486318,C17H18N2O6
Nifurtimox,Lampit,DB11820,Nifurtimoxis an antiparasitic drug used for the treatment of Chagas disease (Trypanosoma cruzi infection).,"Chagas disease, caused by a parasite known as Trypanosoma cruzi (T.cruzi), is a vector-transmitted disease affecting animals and humans in the Americas. It is commonly known as American Trypanosomiasis.11The CDC estimates that approximately 8 million people in Central America, South America, and Mexico are infected with T. cruzi, without symptoms. If Chagas disease is left untreated, life-threatening sequelae may result.11Nifurtimox, developed by Bayer, is a nitrofuran antiprotozoal drug used in the treatment of Chagas disease. On August 6 2020, accelerated FDA approval was granted for its use in pediatric patients in response to promising results from phase III clinical trials. Continued approval will be contingent upon confirmatory data.10A convenient feature of Bayer's formulation is the ability to divide the scored tablets manually without the need for pill-cutting devices.10",Average: 287.29Monoisotopic: 287.057591705,C10H13N3O5S
Nifurtoinol,,DB13730,,Not Available,Average: 268.185Monoisotopic: 268.044383994,C9H8N4O6
Nilotinib,Tasigna,DB04868,Nilotinibis a kinase inhibitor used for the chronic phase treatment of Chronic Myeloid Leukemia (CML) that is Philadelphia chromosome positive and for the treatment of CML that is resistant to therapy containing imatinib.,"Nilotinib, also known as AMN107, is a tyrosine kinase inhibitor under investigation as a possible treatment for chronic myelogenous leukemia (CML). A Phase I clinical trial in 2006 showed that this drug was relatively safe and offered significant therapeutic benefits in cases of CML which were found to be resistant to treatment with imatinib (Gleevec), another tyrosine kinase inhibitor used as a first-line treatment for CML.",Average: 529.5158Monoisotopic: 529.183792976,C28H22F3N7O
Nimodipine,"Nimotop, Nymalize",DB00393,Nimodipineis a calcium channel blocker used to improve neurological outcomes in patients with subarachnoid hemorrhage due to a ruptured intracranial aneurysm.,"Nimodipine is a 1,4-dihydropyridine calcium channel blocker. It acts primarily on vascular smooth muscle cells by stabilizing voltage-gated L-type calcium channels in their inactive conformation. By inhibiting the influx of calcium in smooth muscle cells, nimodipine prevents calcium-dependent smooth muscle contraction and subsequent vasoconstriction. Compared to other calcium channel blocking agents, nimodipine exhibits greater effects on cerebral circulation than on peripheral circulation. Nimodipine is used to as an adjunct to improve the neurologic outcome following subarachnoid hemorrhage from ruptured intracranial aneurysm.",Average: 418.4403Monoisotopic: 418.174001196,C21H26N2O7
